  0.00000000E+00 -0.71001994E+01
  0.50948241E-02 -0.71002167E+01
  0.10189648E-01 -0.71002713E+01
  0.15284472E-01 -0.71003636E+01
  0.20379296E-01 -0.71004934E+01
  0.25474120E-01 -0.71006609E+01
  0.30568944E-01 -0.71008665E+01
  0.35663768E-01 -0.71011107E+01
  0.40758593E-01 -0.71013940E+01
  0.45853417E-01 -0.71017171E+01
  0.50948241E-01 -0.71020807E+01
  0.56043065E-01 -0.71024856E+01
  0.61137889E-01 -0.71029326E+01
  0.66232713E-01 -0.71034226E+01
  0.71327537E-01 -0.71039565E+01
  0.76422361E-01 -0.71045353E+01
  0.81517185E-01 -0.71051599E+01
  0.86612009E-01 -0.71058314E+01
  0.91706833E-01 -0.71065507E+01
  0.96801657E-01 -0.71073189E+01
  0.10189648E+00 -0.71081369E+01
  0.10699131E+00 -0.71090057E+01
  0.11208613E+00 -0.71099262E+01
  0.11718095E+00 -0.71108992E+01
  0.12227578E+00 -0.71119257E+01
  0.12737060E+00 -0.71130063E+01
  0.13246543E+00 -0.71141417E+01
  0.13756025E+00 -0.71153326E+01
  0.14265507E+00 -0.71165793E+01
  0.14774990E+00 -0.71178824E+01
  0.15284472E+00 -0.71192420E+01
  0.15793955E+00 -0.71206584E+01
  0.16303437E+00 -0.71221316E+01
  0.16812919E+00 -0.71236614E+01
  0.17322402E+00 -0.71252477E+01
  0.17831884E+00 -0.71268901E+01
  0.18341367E+00 -0.71285879E+01
  0.18850849E+00 -0.71303406E+01
  0.19360331E+00 -0.71321473E+01
  0.19869814E+00 -0.71340070E+01
  0.20379296E+00 -0.71359186E+01
  0.20888779E+00 -0.71378807E+01
  0.21398261E+00 -0.71398918E+01
  0.21907743E+00 -0.71419504E+01
  0.22417226E+00 -0.71440546E+01
  0.22926708E+00 -0.71462026E+01
  0.23436191E+00 -0.71483922E+01
  0.23945673E+00 -0.71506213E+01
  0.24455156E+00 -0.71528874E+01
  0.24964638E+00 -0.71551882E+01
  0.25474120E+00 -0.71575209E+01
  0.25983603E+00 -0.71598828E+01
  0.26493085E+00 -0.71622712E+01
  0.27002568E+00 -0.71646830E+01
  0.27512050E+00 -0.71671152E+01
  0.28021532E+00 -0.71695646E+01
  0.28531015E+00 -0.71720281E+01
  0.29040497E+00 -0.71745024E+01
  0.29549980E+00 -0.71769840E+01
  0.30059462E+00 -0.71794696E+01
  0.30568944E+00 -0.71819558E+01
  0.31078427E+00 -0.71844390E+01
  0.31587909E+00 -0.71869156E+01
  0.32097392E+00 -0.71893823E+01
  0.32606874E+00 -0.71918353E+01
  0.33116356E+00 -0.71942712E+01
  0.33625839E+00 -0.71966863E+01
  0.34135321E+00 -0.71990772E+01
  0.34644804E+00 -0.72014403E+01
  0.35154286E+00 -0.72037720E+01
  0.35663768E+00 -0.72060690E+01
  0.36173251E+00 -0.72083278E+01
  0.36682733E+00 -0.72105450E+01
  0.37192216E+00 -0.72127173E+01
  0.37701698E+00 -0.72148414E+01
  0.38211180E+00 -0.72169142E+01
  0.38720663E+00 -0.72189326E+01
  0.39230145E+00 -0.72208934E+01
  0.39739628E+00 -0.72227938E+01
  0.40249110E+00 -0.72246309E+01
  0.40758593E+00 -0.72264019E+01
  0.41268075E+00 -0.72281042E+01
  0.41777557E+00 -0.72297352E+01
  0.42287040E+00 -0.72312924E+01
  0.42796522E+00 -0.72327735E+01
  0.43306005E+00 -0.72341763E+01
  0.43815487E+00 -0.72354987E+01
  0.44324969E+00 -0.72367387E+01
  0.44834452E+00 -0.72378944E+01
  0.45343934E+00 -0.72389641E+01
  0.45853417E+00 -0.72399463E+01
  0.46362899E+00 -0.72408393E+01
  0.46872381E+00 -0.72416420E+01
  0.47381864E+00 -0.72423531E+01
  0.47891346E+00 -0.72429715E+01
  0.48400829E+00 -0.72434964E+01
  0.48910311E+00 -0.72439269E+01
  0.49419793E+00 -0.72442624E+01
  0.49929276E+00 -0.72445024E+01
  0.50438758E+00 -0.72446465E+01
  0.50948241E+00 -0.72446946E+01
  0.51455345E+00 -0.72446268E+01
  0.51962449E+00 -0.72444238E+01
  0.52469553E+00 -0.72440864E+01
  0.52976657E+00 -0.72436159E+01
  0.53483761E+00 -0.72430141E+01
  0.53990865E+00 -0.72422835E+01
  0.54497970E+00 -0.72414268E+01
  0.55005074E+00 -0.72404475E+01
  0.55512178E+00 -0.72393494E+01
  0.56019282E+00 -0.72381371E+01
  0.56526386E+00 -0.72368152E+01
  0.57033490E+00 -0.72353893E+01
  0.57540594E+00 -0.72338650E+01
  0.58047698E+00 -0.72322486E+01
  0.58554803E+00 -0.72305467E+01
  0.59061907E+00 -0.72287664E+01
  0.59569011E+00 -0.72269151E+01
  0.60076115E+00 -0.72250004E+01
  0.60583219E+00 -0.72230305E+01
  0.61090323E+00 -0.72210136E+01
  0.61597427E+00 -0.72189583E+01
  0.62104531E+00 -0.72168732E+01
  0.62611636E+00 -0.72147671E+01
  0.63118740E+00 -0.72126490E+01
  0.63625844E+00 -0.72105277E+01
  0.64132948E+00 -0.72084120E+01
  0.64640052E+00 -0.72063108E+01
  0.65147156E+00 -0.72042325E+01
  0.65654260E+00 -0.72021855E+01
